time,value,gas_price,size,total_diff,diff,blockgas_limit,blockgas_used,trans_count
2020-06-07 12:00:00,1.7957310976698683e+18,38752426239.18939,27236.098858888934,1.5777869171815659e+22,2371001820439649.5,9980343.969947668,9371346.02190381,128.01704993077098
2020-06-08 00:00:00,1.5305096889391716e+18,43267321420.94617,30277.598434173342,1.5785473501567862e+22,2337192906475981.5,9977810.173324753,9389368.451890806,164.89104968155573
2020-06-08 12:00:00,1.8593603997239636e+18,37471111759.71488,27821.272925081863,1.5792986519983792e+22,2329408402529143.0,9979794.141391344,9355959.701687863,136.17653777859144
2020-06-09 00:00:00,1.5790954976835372e+18,37654736780.42829,29721.008494391575,1.580034818085139e+22,2274041760654042.5,9976251.748374881,9450108.228096997,155.25353230909985
2020-06-09 12:00:00,1.9928966358076541e+18,36048001464.254295,28036.178243116487,1.5807660535114455e+22,2296350216139480.5,9981790.014333133,9426105.327349655,130.85887924726606
2020-06-10 00:00:00,2.4082446186722826e+18,38763479703.71218,30366.686707564484,1.581504367746951e+22,2273027718782628.5,9983223.168598412,9491233.61020228,157.78354478457712
2020-06-10 12:00:00,2.8235926015369114e+18,41478957943.17007,32028.674025133816,1.5822359895456688e+22,2281833014114724.5,9979916.117682667,9456101.308598312,137.4626233579011
2020-06-11 00:00:00,2.397365565625464e+18,39039668990.42557,30803.038410779172,1.5829750652637496e+22,2298607757342432.0,9980035.075900415,9505372.110416207,152.24798300042846
2020-06-11 12:00:00,2.397365565625464e+18,39039668990.42557,29924.441471664617,1.5837077039557368e+22,2264533887183627.0,9978439.675191833,9453414.469285449,134.66050006742043
2020-06-12 00:00:00,1.9711385297140163e+18,36600380037.68107,29102.141750867373,1.584440404060416e+22,2248778620780481.8,9980283.390771294,9404476.502731556,148.3693150252848
2020-06-12 12:00:00,1.6750555629226125e+18,33587835991.661526,26813.074408374257,1.5851786852882218e+22,2302920355322010.5,9980380.27580428,9410914.624564901,125.46673634831156
2020-06-13 00:00:00,8.821106216961033e+17,31470457567.698837,26905.704535076573,1.5859244250026652e+22,2301737067327369.0,9980743.809845401,9362594.11810278,140.68091068936144
2020-06-13 12:00:00,1.1763734538069256e+18,25726481052.705524,24633.71214112645,1.5866649983800272e+22,2281546039262001.0,9984822.020486388,9458393.97817695,116.77720727188148
2020-06-14 00:00:00,1.0281848341252991e+18,23774120013.998417,25148.140979207714,1.587417094568467e+22,2304009059747562.5,9982403.005984494,9453722.20864378,129.23979774603262
2020-06-14 12:00:00,1.5960256296656026e+18,24270361798.388428,25368.982732998167,1.5881641777933792e+22,2296904798578457.5,9978877.910010273,9490567.818135194,111.70784691558964
2020-06-15 00:00:00,2.6849902991264364e+18,43831022384.45841,30712.28333096816,1.5888982102055793e+22,2266760558960140.0,9978586.585043306,9434926.211405749,152.72764487563242
2020-06-15 12:00:00,3.132000491669448e+18,40001097765.35021,28205.61041713906,1.5896417802110089e+22,2337730016110524.5,9981820.423540683,9489884.58138443,129.94668091541453
2020-06-16 00:00:00,1.693335442902267e+18,39781330086.854515,29673.81442644398,1.590412576659093e+22,2371760899360796.0,9974027.584984722,9509806.770520428,151.9082306195681
2020-06-16 12:00:00,1.8796978716889183e+18,39853354186.14425,28117.209297793754,1.5911676754954629e+22,2335073186852659.5,9981082.515625047,9463569.912912657,129.53794883170556
2020-06-17 00:00:00,1.4863670216242417e+18,41124286538.905235,29306.40222142135,1.5919158871818232e+22,2305858204116481.5,9984099.968637416,9489701.816340653,150.21165282572585
2020-06-17 12:00:00,2.3151963402002657e+18,41585969788.32459,26908.29234881331,1.5926580100775193e+22,2297556969264758.5,9983742.605780916,9518804.089343347,123.78594453063535
2020-06-18 00:00:00,1.7754429782453404e+18,38117753575.83582,29112.291546776334,1.5933989783044952e+22,2305606967279478.0,9982298.095155187,9490294.30136493,150.42978429757173
2020-06-18 12:00:00,2.209077947325228e+18,37951245285.39657,28860.191173804702,1.5941365447742819e+22,2287857616116990.5,9978996.782373114,9458480.201709019,133.06104613279777
2020-06-19 00:00:00,1.863890564520757e+18,39756022091.098854,29997.02743065686,1.5948795863025402e+22,2311421328791141.5,10086038.649061432,9642104.613242973,151.8576488499546
2020-06-19 12:00:00,2.268001388754295e+18,37894313445.38476,31353.81729362346,1.5956400381273443e+22,2349883493223290.5,11513902.80029568,10972701.460556576,139.24059646117243
2020-06-20 00:00:00,9.845379989033185e+17,31155716829.667984,31955.231621873692,1.5964053386873104e+22,2372058006202873.5,11803762.60227319,11215081.669546193,157.51766764984723
2020-06-20 12:00:00,1.2472433290472323e+18,26935720420.6048,30159.23477348669,1.5971632832934815e+22,2345244190389573.5,11939202.614117311,11276892.975112522,134.14122781889526
2020-06-21 00:00:00,1.09136710697113e+18,25983453077.711227,32960.95200886508,1.5979270994624135e+22,2352581065414844.0,11942771.746377865,11325016.682153828,154.3971545313896
2020-06-21 12:00:00,1.8535486538131786e+18,32854145012.69432,35182.28913742932,1.5986824894527211e+22,2340150168343256.0,11958240.171423187,11382917.574419828,150.39940678332223
2020-06-22 00:00:00,1.9478440935144082e+18,36250467634.745155,36311.99840704731,1.599439421954007e+22,2319769861852869.5,11845569.772336857,11237613.066266797,173.87312435387727
2020-06-22 12:00:00,2.629543373356308e+18,45637927147.06829,37210.67599240341,1.6001831547612154e+22,2318813623586078.0,11919694.117123423,11249213.778642496,164.82053280662936
2020-06-23 00:00:00,1.8967368695192036e+18,46042033578.3339,36910.37928779234,1.6009373543661312e+22,2323673422289610.5,11957153.909675324,11353566.131034674,188.90105253885824
2020-06-23 12:00:00,2.4974065356293617e+18,43803926026.28295,37374.1226132904,1.6016947454048123e+22,2376920838272226.5,11957713.44200859,11304210.54388596,159.39593259167034
2020-06-24 00:00:00,2.3374704569383276e+18,45267601230.65708,38185.74376352791,1.6024516289882088e+22,2340215483059890.5,11958225.822359174,11432490.411509467,174.6162911590578
2020-06-24 12:00:00,5.525829296481078e+18,47154002432.20095,38745.95461672333,1.60321632932005e+22,2384190675058423.5,11927682.217943067,11271473.256658887,155.8471976693237
2020-06-25 00:00:00,3.96096291293163e+18,44303695142.79201,39570.238980044625,1.6039863886899124e+22,2387979767259512.5,11730411.496159485,11078482.584358519,174.5827723111529
2020-06-25 12:00:00,2.3960965293821814e+18,41453387853.38306,37031.81021421923,1.6047643856941835e+22,2422040670183628.5,11882480.893400162,11304211.616203405,149.20669652477173
2020-06-26 00:00:00,3.740546353732153e+18,37146023788.65615,34530.15891352043,1.6055441613805096e+22,2391432613277454.5,11924226.446898937,11387421.764096782,163.59988281009683
2020-06-26 12:00:00,1.68314020808086e+18,38318218524.218414,36068.65980027928,1.6063227334678154e+22,2422701701078025.5,11911434.208249642,11331131.983889228,152.05993370262215
2020-06-27 00:00:00,1.2923070473336284e+18,33318164885.54787,35683.35238128236,1.6071071665510632e+22,2436613248826695.5,11914662.275221592,11321536.649933787,168.81536862050544
2020-06-27 12:00:00,2.342488238323608e+18,40248292580.41573,37380.57481941351,1.6078671205852328e+22,2337221382352016.0,11733699.11532793,11174451.022356277,151.27701870426844
2020-06-28 00:00:00,1.3953365040906207e+18,34747766976.6787,34221.71074280007,1.6086067568101732e+22,2299986302060677.0,11899938.440015987,11357338.727598695,171.47143917587616
2020-06-28 12:00:00,1.3008072523645453e+18,34573954078.414345,33091.416526084075,1.6093697291907615e+22,2382583338491881.5,11921551.134789348,11275732.456411133,135.2590224433547
2020-06-29 00:00:00,1.6072892415476948e+18,38644374390.868515,35912.060179236825,1.6101498510662206e+22,2417811443680072.5,11705709.296499623,11129735.261851666,176.72923638756265
2020-06-29 12:00:00,1.358815849013058e+18,39781677012.77698,33767.51340903645,1.6109152423545426e+22,2376937867735938.0,11775986.020942355,11209419.4581338,153.89319166493473
2020-06-30 00:00:00,2.1106724768604744e+18,56943654686.225334,32518.68358605674,1.6116682659047976e+22,2340772375442312.5,11921333.35534642,11308798.155450553,180.61479979604667
2020-06-30 12:00:00,1.438488425126276e+18,44661077506.89876,36421.35234140788,1.612425202786575e+22,2375286103664839.5,11966037.92501319,11353208.714855932,163.02245747023878
